epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.692174,1.44357,3.72579,1.78061,0.62222,0.87484,0.88753,0.63768,1.41876,1.32003,1.24985,0,0,0
2,1.37957,1.09234,3.03973,1.43916,0.62222,0.87484,0.88753,0.63768,1.41876,1.32003,1.24985,3.18127e-05,3.18127e-05,3.18127e-05
3,2.00521,1.32732,4.14839,1.59318,0.62222,0.87484,0.88753,0.63768,1.41876,1.32003,1.24985,4.79173e-05,4.79173e-05,4.79173e-05
4,2.64344,1.01297,2.64455,1.24653,0.63956,0.75,0.85838,0.60135,1.47012,1.44738,1.29077,4.8314e-05,4.8314e-05,4.8314e-05
5,3.27216,1.38518,2.47502,1.60715,0.63956,0.75,0.85838,0.60135,1.47012,1.44738,1.29077,2.4752e-05,2.4752e-05,2.4752e-05
